file,type,inSitemap,severity,code,detail
guides/gst-calculator-itc-explained.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/hash-checker-md5-web-crypto-unsupported-en.html,guide-en,True,P2,short-desc,description 11자
guides/hash-checker-md5-web-crypto-unsupported-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/hash-checker-md5-web-crypto-unsupported.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/hashtag-count-strategy-3-4-3-ratio-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/hashtag-count-strategy-3-4-3-ratio.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/heic-to-jpg-hevc-codec-license-en.html,guide-en,True,P2,short-desc,description 27자
guides/htaccess-hsts-lockout-risk-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/htaccess-hsts-lockout-risk.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/http-header-hsts-max-age-zero-trap-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/http-header-hsts-max-age-zero-trap.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/http-request-builder-cors-preflight-3-conditions-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/http-request-builder-cors-preflight-3-conditions.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ico-converter-png-inside-ico-en.html,guide-en,True,P2,short-desc,description 7자
guides/ico-converter-png-inside-ico-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ico-converter-png-inside-ico.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-color-extractor-clustering-vs-average-en.html,guide-en,True,P2,short-desc,description 23자
guides/image-color-extractor-clustering-vs-average-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-color-extractor-clustering-vs-average.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-dimension-aspect-ratio-gcd-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-dimension-aspect-ratio-gcd.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-dpi-checker-cm-inch-conversion-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-dpi-checker-cm-inch-conversion-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-format-comparison-2026.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-prompt-generator-dalle-negative-prompt-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-prompt-generator-dalle-negative-prompt-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-rotator-canvas-bounding-box-expand-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-rotator-canvas-bounding-box-expand.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-to-pdf-recompression-size-increase-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-to-pdf-recompression-size-increase.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-upscale-quality-loss-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-upscale-quality-loss.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-watermark-webfont-vs-pdf-font-en.html,guide-en,True,P2,short-desc,description 22자
guides/image-watermark-webfont-vs-pdf-font-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/image-watermark-webfont-vs-pdf-font.html,guide,True,P2,short-desc,description 3자
guides/image-watermark-webfont-vs-pdf-font.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/income-tax-progressive-deduction-less-than-table.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/index.html,guide,True,P2,unlabeled-input,라벨 없는 입력 1개
guides/inflation-purchasing-power-decay.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/investment-return-compounding-frequency-diff.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/isa-savings-interest-tax-exemption.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/javascript-beautifier-brace-counting-for-loop-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/javascript-beautifier-brace-counting-for-loop-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/javascript-minifier-string-boundary-regex-risk-en.html,guide-en,True,P2,short-desc,description 34자
guides/javascript-minifier-string-boundary-regex-risk-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/javascript-minifier-string-boundary-regex-risk.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/jeonse-monthly-rent-conversion-rate-cap.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
